unidade;setor_saida;ano;mes;paciente_dia;saidas;mp_por_setor_de_saida
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;1;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;2;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;3;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;4;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;5;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;6;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;7;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;8;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;9;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;10;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;11;0;0;
CHPB;2º ANDAR - INTERNAÇÃO PEDIÁTRICA;2019;12;0;0;
CHPB;2º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;1;0;0;
CHPB;2º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;2;0;0;
CHPB;2º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;3;0;0;
CHPB;2º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;4;0;0;
CHPB;2º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;5;0;0;
CHPB;2º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;6;0;0;
CHPB;2º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;7;0;0;
CHPB;2º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;8;0;0;
CHPB;2º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;9;0;0;
CHPB;2º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;10;0;0;
CHPB;2º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;11;0;0;
CHPB;2º ANDAR - UNIDADE CIRÚRGICA DE RETAGUARDA;2019;12;0;0;
CHPB;2º ANDAR - UTI PEDIÁTRICA;2019;1;0;0;
CHPB;2º ANDAR - UTI PEDIÁTRICA;2019;2;0;0;
CHPB;2º ANDAR - UTI PEDIÁTRICA;2019;3;0;0;
CHPB;2º ANDAR - UTI PEDIÁTRICA;2019;4;0;0;
CHPB;2º ANDAR - UTI PEDIÁTRICA;2019;5;0;0;
CHPB;2º ANDAR - UTI PEDIÁTRICA;2019;6;0;0;
CHPB;2º ANDAR - UTI PEDIÁTRICA;2019;7;0;0;
CHPB;2º ANDAR - UTI PEDIÁTRICA;2019;8;0;0;
CHPB;2º ANDAR - UTI PEDIÁTRICA;2019;9;0;0;
